"id","dams","connectedmiles"
"0208010609",16,2.9108498175938924
"0208010610",15,3.5799667209386827
"0208010611",9,6.701711377927235
"0208010701",9,3.6620633713901043
"0208010702",15,1.1020096749067307
"0208010801",3,3.4651233752568564
"0208010802",2,0.162090003490448
"0208020101",1,""
"0208020102",3,13.665811975797018
"0208020104",1,1.888569951057434
"0208020105",8,47.10750125135694
"0208020107",2,""
"0208020108",3,72.40934244791667
"0208020110",1,11.199799537658693
"0208020111",4,12.756379842758179
"0208020115",2,3.8026399612426762
"0208020201",2,3.407099962234497
"0208020202",3,17.97274652371804
"0208020203",2,29.55940055847168
"0208020204",3,2.0906903043796774
"0208020205",6,9.441116705536844
"0208020301",6,24.28560988108317
"0208020302",4,16.322943449020386
"0208020303",25,13.150094559246844
"0208020304",8,5.572465005517006
"0208020305",2,2.3688070103526115
"0208020306",12,18.41341402313926
"0208020307",3,3.7350991020599995
"0208020308",3,2.3724883000055947
"0208020309",5,16.32046067714691
"0208020310",7,5.946220898628235
"0208020311",11,4.19218440502882
"0208020312",13,0.8344468391603894
"0208020313",7,7.226950138807297
"0208020314",6,6.179454982280731
"0208020315",7,183.50896158388682
"0208020401",15,6.187367303804918
"0208020402",12,30.35546456490244
"0208020403",25,2.1495320200920105
"0208020404",28,1.5586346293750561
"0208020405",5,4.314162492752075
"0208020501",5,2.190713632106781
"0208020502",20,10.427042751014232
"0208020503",5,8.344464954733848
"0208020504",22,8.618512632815461
"0208020505",20,2.6070363365113733
"0208020506",49,1.992607097343906
"0208020601",20,7.456781323018827
"0208020602",2,16.001203179359432
"0208020603",7,4.464445281773806
"0208020604",8,8.09561373080526
"0208020605",10,40.35607718096839
"0208020606",9,8.000876867108875
"0208020607",3,2.152853613098462
"0208020608",8,1.5186640151909416
"0208020609",12,2.75737067386508
"0208020701",18,4.281381539503733
"0208020702",14,3.0870346989896564
"0208020703",18,7.915250977172571
"0208020704",22,2.428281226091234
"0208020705",8,1.8018459863960743
"0208020706",8,1.6454825974069536
"0208020707",17,2.4843267258256674
"0208020708",4,2.1780672259628773
"0208020709",17,6.803445944562554
"0208020710",14,1.9917591159733443
"0208020801",15,4.3413486530383425
"0208020802",1,1.8611500263214111
"0208020803",1,0.3863359987735748
"0301010101",1,1.25285005569458
"0301010102",1,""
"0301010103",2,1.4855650067329407
"0301010104",17,59.726544545247
"0301010105",5,3.0819599330425262
"0301010106",7,0.4957217462360859
"0301010107",5,119.76588876843452
"0301010108",6,3.9510969847440727
"0301010110",9,9.590999573469162
"0301010111",2,0.6185335144400598
"0301010112",3,0.5576514899730682
"0301010113",7,99.78091242909431
"0301010114",12,3.6542970910668373
"0301010115",16,1.3916332587599753
"0301010201",4,27.64582085609436
"0301010202",19,2.697112927311345
"0301010204",10,4.415137097239494
"0301010205",22,5.046005857735873
"0301010206",9,1.116360326608022
"0301010207",9,0.5993138452370962
"0301010208",6,0.14291624911129475
"0301010209",4,22.996630549430844
"0301010210",3,0.09380929917097093
"0301010301",35,11.731607807916589
"0301010302",36,3.6984343546323744
"0301010303",65,13.942779744069082
"0301010304",11,2.5053624659776688
"0301010305",65,0.9852019869364225
"0301010306",5,8.52713817358017
"0301010307",3,81.58330090840657
"0301010308",23,20.936669130216945
"0301010309",71,20.164549540877342
"0301010310",17,0.64150600948117
"0301010401",104,1.3747995991565873
"0301010402",33,7.961141645908356
"0301010403",33,1.229654080827128
"0301010404",25,1.4732915900647638
"0301010405",41,3.648571979673579
