HUC12,NumTEspp
030601060903,1
030601060904,1
030601060905,1
030601070106,1
030601070201,1
030601070202,1
030601070203,1
030601070204,1
030601070205,1
030601070206,1
030601070207,1
030601070208,1
030601090103,1
030601090106,1
030601090107,1
030601090203,1
030601090303,1
030601090304,1
030601090305,3
030601090307,2
030601100103,1
030601100201,1
030601100302,1
030601100304,1
030601100305,1
030602020605,1
030602030606,2
030602040301,2
030602040502,2
030701020101,1
030701020105,1
030701021405,1
030701031601,1
030701031602,1
030701031605,1
030701040107,1
030701040303,1
030701040503,1
030701040804,1
030701040805,1
030701040806,1
030701040807,2
030701060101,3
030701060106,3
030701060203,1
030701060204,2
030701060301,1
030701060302,1
030701060305,1
030701060308,2
030701060404,1
030701060405,3
030701060501,3
030701060502,2
030701060504,1
030701070506,1
030702011202,2
030702030402,1
030702040905,1
030801011405,1
030801011406,1
030801011407,1
030801011604,1
030801011605,1
030801011802,1
030801020803,1
030801021301,1
030801021302,1
030801021303,1
030801021402,1
030801021406,2
030801030401,1
030801030704,1
030801031304,1
030801031404,1
030801031405,1
030801031503,1
030801031603,1
030801031606,1
030802020203,1
030802030201,1
031001011108,1
031002050502,2
031002070504,1
031101010504,1
031102010905,2
031102030908,1
031102050101,2
031102050102,1
031102050105,1
031102050305,1
031102050502,2
031102050504,1
031102050603,1
031102050701,3
031102050704,1
031102050805,1
031102060103,1
031102060104,1
031102060206,2
031102060207,1
031102060208,2
031102060303,2
031102060304,1
031102060405,2
031102060503,2
031102060504,2
031102060505,1
031200020502,1
031200020602,1
031200020802,1
031200030102,2
031200030106,4
031200030302,4
031200030303,4
031200030403,2
031200030802,1
031200030804,2
031200030805,1
031200030901,1
031200030902,1
031200030903,2
031200031202,1
031300010907,1
031300011102,1
031300020101,1
031300020104,1
031300021208,1
031300021302,1
031300021306,1
031300030101,3
031300030103,1
031300030104,4
031300030303,1
031300030304,1
031300030401,1
031300030402,1
031300030403,2
031300030503,2
031300030504,3
031300030505,1
031300030802,1
031300040705,3
031300040706,3
031300040707,3
031300040708,3
031300050106,2
031300050108,1
031300050201,1
031300050203,2
031300050204,1
031300050205,2
031300050206,3
031300050401,2
031300050403,1
031300050502,1
031300050705,1
031300051103,2
031300051302,2
031300051303,2
031300051304,1
031300051305,1
031300051401,1
031300051402,1
031300051408,1
031300051601,2
031300051604,2
031300060102,4
031300060107,1
031300060402,2
031300060403,2
031300060405,1
031300060407,2
031300060501,1
031300060503,1
031300060601,2
031300060602,2
031300060604,3
031300060605,1
031300060606,1
031300060607,2
031300060608,1
031300060609,3
031300060610,3
031300060611,1
031300060701,1
031300060703,3
031300060704,1
031300060706,3
031300060707,1
031300060804,3
031300060901,4
031300060902,1
031300060905,3
031300070201,2
031300070203,2
031300070204,3
031300070302,3
031300070303,2
031300070502,3
031300070503,2
031300070601,2
031300070605,1
031300070702,1
031300070704,1
031300070705,1
031300070802,1
031300070805,3
031300070903,1
031300071001,3
031300071002,1
031300080101,1
031300080102,5
031300080106,2
031300080107,2
031300080304,3
031300080401,5
031300080402,4
031300080701,3
031300080702,1
031300080703,3
031300080801,2
031300080803,1
031300080804,3
031300090304,2
031300090602,3
031300090603,1
031300090701,2
031300090801,3
031300090803,3
031300090805,2
031300090902,3
031300091003,2
031300100104,1
031300100202,1
031300100205,1
031300100303,2
031300100405,1
031300100501,2
031300100505,2
031300100603,2
031300100604,3
031300100801,3
031300100802,2
031300100803,1
031300110101,1
031300110201,4
031300110303,2
031300110404,2
031300110503,2
031300110603,3
031300110604,1
031300110605,3
031300110803,2
031300120102,3
031300120104,4
031300120105,2
031300120107,4
031300120201,3
031300120203,1
031300120204,4
031300120302,4
031300120303,1
031300120304,4
031300120305,3
031300120404,1
031300120405,3
031300120408,4
031300120502,2
031300120504,5
031300120602,1
031300120603,5
031300120605,3
031300120606,3
031401010201,3
031401010505,3
031401020501,1
031401020502,1
031401020503,1
031401020504,1
031401020505,1
031401020601,1
031401020602,1
031401020603,1
031401020604,1
031401020800,1
031401030104,1
031401030201,1
031401030203,2
031401030302,1
031401030305,1
031401030403,2
031401030405,1
031401030406,4
031401030504,2
031401030605,1
031401030701,2
031401030704,2
031401030705,2
031401030801,1
031401030803,2
031401030804,3
031401030805,1
031401030806,3
031401040205,1
031401040502,1
031401040503,3
031401050201,1
031401050202,1
031401050301,1
031401050302,1
031401050303,1
031401050401,1
031401050403,1
031401050500,1
031401060702,1
031401060703,1
031401070101,1
031401070103,1
031401070104,1
031401070204,1
031402010103,3
031402010203,2
031402010204,1
031402010207,1
031402010303,3
031402010304,1
031402010401,1
031402010402,4
031402010404,5
031402010406,3
031402010407,2
031402010702,1
031402010801,1
031402011003,2
031402011004,1
031402011102,1
031402011203,2
031402020104,4
031402020203,1
031402020204,1
031402020302,1
031402020303,3
031402020405,1
031402020408,3
031402020502,4
031402020504,1
031402020505,4
031402020506,5
031402020702,4
031402020802,1
031402020803,4
031402020903,5
031402020904,1
031402020906,2
031402030105,4
