"L4_KEY","NA_L3CODE","NA_L2CODE","NA_L1CODE","dams","connectedmiles"
"74c","8.3.6","8.3","8",237,6.921329854010309
"74d","8.3.6","8.3","8",3,3.5135660000000004
"75a","8.5.3","8.5","8",592,8.964764942814998
"75b","8.5.3","8.5","8",413,7.601833764993218
"75c","8.5.3","8.5","8",81,4.297185698856963
"75d","8.5.3","8.5","8",116,24.120600206218757
"75e","8.5.3","8.5","8",72,2.5351871417142853
"75f","8.5.3","8.5","8",109,3.2136803438094046
"75g","8.5.3","8.5","8",1,202.543
"75h","8.5.3","8.5","8",92,1.960578616851852
"75i","8.5.3","8.5","8",73,31.41605005055556
"75j","8.5.3","8.5","8",60,8.43966521396154
"75k","8.5.3","8.5","8",107,0.5306011363333333
"75l","8.5.3","8.5","8",4,2.339911841
"76a","15.4.1","15.4","15",66,13.113225754248749
"76c","15.4.1","15.4","15",31,3.3820010744444446
"76d","15.4.1","15.4","15",1,""
