"id","dams","off_network_dams","miles","barriers"
"01107",146,42,32.67300033569336,47
"01109",165,4,1.1180000305175781,0
"01111",584,226,4.382999897003174,19
"01113",773,306,0.6600000262260437,0
"01115",138,36,23.27899932861328,132
"01117",427,113,1.2949999570846558,0
"01119",154,15,81.67500305175781,102
"01121",84,2,6.6579999923706055,18
"01123",620,303,0.7310000061988831,0
"01125",1159,388,2.382999897003174,122
"01127",74,25,50.250999450683594,55
"01129",72,0,2.263000011444092,0
"01131",71,10,34.86199951171875,0
"01133",15,1,9.449000358581543,20
"05001",72,25,44.20500183105469,0
"05003",11,3,3.128999948501587,0
"05005",103,0,62.26599884033203,5
"05007",369,1,3.61299991607666,5
"05009",93,1,0.41600000858306885,0
"05011",34,2,0.22300000488758087,0
"05013",17,1,4.997000217437744,0
"05015",55,2,28.5310001373291,8
"05017",5,4,62.51300048828125,0
"05019",52,2,3.427000045776367,0
"05021",64,5,0.22699999809265137,0
"05023",341,10,4.829999923706055,0
"05025",25,2,0.36399999260902405,0
"05027",54,7,0.39399999380111694,0
"05029",274,1,7.019000053405762,47
"05031",39,14,1.8730000257492065,0
"05033",105,11,10.366000175476074,338
"05035",1,1,0.0,0
"05037",34,4,0.9959999918937683,0
"05039",47,1,0.3779999911785126,0
"05041",3,0,3041.31591796875,0
"05043",17,1,28.517000198364258,0
"05045",259,4,1.774999976158142,0
"05047",133,4,18.0049991607666,245
"05049",130,2,1.3370000123977661,10
"05051",135,19,6.993000030517578,12
"05053",45,2,0.8569999933242798,0
"05055",76,7,0.593999981880188,0
"05057",51,11,1.5130000114440918,0
"05059",124,8,1.440999984741211,0
"05061",58,3,8.651000022888184,0
"05063",172,26,8.246999740600586,0
"05065",66,2,1.3839999437332153,20
"05067",22,2,0.375,0
"05069",38,8,13.635000228881836,0
"05071",88,2,2.055000066757202,366
"05073",15,1,2.306999921798706,0
"05075",60,0,25.871000289916992,1
"05077",6,1,4.693999767303467,0
"05079",27,4,5.107999801635742,0
"05081",18,1,293.6700134277344,0
"05083",133,15,2.5820000171661377,260
"05085",41,6,0.8500000238418579,0
"05087",60,1,0.9079999923706055,168
"05089",24,0,0.11800000071525574,0
"05091",57,4,0.9769999980926514,0
"05093",2,1,2.809000015258789,0
"05095",5,3,8.687000274658203,0
"05097",56,2,1.680999994277954,62
"05099",46,5,0.4090000092983246,0
"05101",69,3,0.75,329
"05103",41,6,3.194999933242798,0
"05105",61,5,52.92100143432617,20
"05107",6,1,4.948999881744385,0
"05109",65,2,7.922999858856201,0
"05111",37,11,7.172999858856201,0
"05113",87,7,5.863999843597412,81
"05115",150,0,15.98900032043457,593
"05117",18,5,12.644000053405762,0
"05119",191,30,7.00600004196167,0
